latitude,longitude,speed
13.7259,80.2266,40.51
13.725999999999999,80.22680000000001,41.07
13.726099999999999,80.227,48.18
14.0000,84.7256,23.88
13.726199999999999,80.22720000000001,45.33
13.7263,80.2274,44.72
13.7264,80.22760000000001,48.51
13.7265,80.2278,47.77
13.7266,80.22800000000001,45.23
13.7267,80.2282,42.28
13.726799999999999,80.22840000000001,43.18
13.726899999999999,80.2286,44.19
13.726999999999999,80.2288,49.7
13.7271,80.229,44.45
13.7272,80.2292,47.79
13.7273,80.2294,43.03
13.7274,80.2296,46.72
13.7275,80.22980000000001,45.22
13.727599999999999,80.23,49.77
13.727699999999999,80.23020000000001,43.09
13.727799999999998,80.2304,42.09
13.7279,80.23060000000001,46.21
13.728,80.2308,42.23
13.7281,80.23100000000001,41.34
13.7282,80.2312,42.05
13.728299999999999,80.23140000000001,40.22
13.728399999999999,80.2316,43.99
13.728499999999999,80.2318,44.34
13.7286,80.232,40.56
13.7287,80.2322,40.23
13.7288,80.2324,46.1
13.7289,80.2326,47.98
13.729,80.23280000000001,44.66
13.729099999999999,80.233,47.42
13.729199999999999,80.23320000000001,45.97
13.729299999999999,80.2334,42.74
13.7294,80.23360000000001,47.84
13.7295,80.2338,47.92
13.7296,80.23400000000001,40.67
13.7297,80.2342,42.21
13.7298,80.23440000000001,40.26
13.729899999999999,80.2346,46.52
13.729999999999999,80.2348,46.45
13.7301,80.235,43.32
13.7302,80.2352,49.17
13.7303,80.2354,42.66
13.7304,80.2356,42.37
13.7305,80.23580000000001,40.92
13.730599999999999,80.236,46.53
13.730699999999999,80.23620000000001,46.0
13.730799999999999,80.2364,45.69
13.7309,80.23660000000001,45.09
13.731,80.2368,44.23
13.7311,80.23700000000001,44.92
13.7312,80.2372,42.99
13.7313,80.23740000000001,45.43
13.731399999999999,80.2376,43.23
13.731499999999999,80.23780000000001,43.29
13.731599999999998,80.238,48.51
13.7317,80.2382,46.23
13.7318,80.2384,49.11
13.7319,80.2386,49.67
13.732,80.23880000000001,45.33
13.732099999999999,80.239,48.81
13.732199999999999,80.23920000000001,41.75
13.732299999999999,80.2394,44.68
13.7324,80.23960000000001,43.82
13.7325,80.2398,49.06
13.7326,80.24000000000001,47.55
13.7327,80.2402,46.66
13.7328,80.24040000000001,40.88
13.732899999999999,80.2406,48.36
13.732999999999999,80.24080000000001,49.09
13.733099999999999,80.241,46.84
13.7332,80.2412,43.83
13.7333,80.2414,44.69
13.7334,80.2416,46.8
13.7335,80.2418,41.04
13.7336,80.242,47.67
13.733699999999999,80.24220000000001,47.17
13.733799999999999,80.2424,47.75
13.733899999999998,80.24260000000001,45.48
13.734,80.2428,45.98
13.7341,80.24300000000001,41.73
13.7342,80.2432,45.06
13.7343,80.24340000000001,42.59
13.734399999999999,80.2436,48.65
13.734499999999999,80.24380000000001,43.07
13.734599999999999,80.244,41.03
13.7347,80.2442,40.01
13.7348,80.2444,48.9
13.7349,80.2446,43.56
13.735,80.2448,41.71
13.7351,80.245,40.12
13.735199999999999,80.24520000000001,42.68
13.735299999999999,80.2454,41.53
13.735399999999998,80.24560000000001,47.3
13.7355,80.2458,49.41
13.7356,80.24600000000001,49.18
13.7357,80.2462,41.03
13.7358,80.24640000000001,44.05
13.735899999999999,80.2466,42.13
13.735999999999999,80.24680000000001,42.45
13.736099999999999,80.247,41.33
13.7362,80.2472,40.16
13.7363,80.2474,48.22
13.7364,80.2476,41.77
13.7365,80.2478,47.21
13.7366,80.248,45.55
13.736699999999999,80.24820000000001,43.39
13.736799999999999,80.2484,46.73
13.736899999999999,80.24860000000001,47.33
13.737,80.2488,47.0
13.7371,80.24900000000001,44.6
13.7372,80.2492,48.5
13.7373,80.24940000000001,49.04
13.7374,80.2496,49.56
13.737499999999999,80.24980000000001,44.67
13.737599999999999,80.25,47.09
13.737699999999998,80.2502,43.91
13.7378,80.2504,45.59
13.7379,80.2506,46.24
13.738,80.2508,45.04
13.7381,80.251,45.86
13.738199999999999,80.25120000000001,40.71
13.738299999999999,80.2514,48.26
13.738399999999999,80.25160000000001,44.42
13.7385,80.2518,46.55
13.7386,80.25200000000001,44.52
13.7387,80.2522,41.53
13.7388,80.25240000000001,47.07
13.7389,80.2526,41.46
13.738999999999999,80.25280000000001,42.87
13.739099999999999,80.253,40.44
13.739199999999999,80.2532,49.62
13.7393,80.2534,46.56
13.7394,80.2536,42.98
13.7395,80.2538,40.77
13.7396,80.254,47.97
13.7397,80.25420000000001,40.21
13.739799999999999,80.2544,49.85
13.739899999999999,80.25460000000001,47.36
13.739999999999998,80.2548,42.92
13.7401,80.25500000000001,43.5
13.7402,80.2552,41.86
13.7403,80.25540000000001,42.91
13.7404,80.2556,47.3
13.740499999999999,80.25580000000001,44.36
13.740599999999999,80.256,43.39
13.740699999999999,80.2562,49.42
13.7408,80.2564,42.27
13.7409,80.2566,47.29
13.741,80.2568,40.43
13.7411,80.257,44.14
13.7412,80.25720000000001,43.37
13.741299999999999,80.2574,49.23
13.741399999999999,80.25760000000001,42.95
13.741499999999998,80.2578,45.15
13.7416,80.25800000000001,43.21
13.7417,80.2582,43.32
13.7418,80.25840000000001,47.24
13.7419,80.2586,49.8
13.741999999999999,80.25880000000001,46.51
13.742099999999999,80.259,46.92
13.742199999999999,80.2592,47.71
13.7423,80.2594,48.44
13.7424,80.2596,48.6
13.7425,80.2598,42.33
13.7426,80.26,45.19
13.7427,80.26020000000001,40.22
13.742799999999999,80.2604,47.72
13.742899999999999,80.26060000000001,46.99
13.742999999999999,80.2608,44.32
13.7431,80.26100000000001,40.91
13.7432,80.2612,46.07
13.7433,80.26140000000001,41.74
13.7434,80.2616,44.91
13.7435,80.26180000000001,49.51
13.743599999999999,80.262,47.05
13.743699999999999,80.2622,44.82
13.743799999999998,80.2624,48.79
13.7439,80.2626,44.1
13.744,80.2628,42.24
13.7441,80.263,43.28
13.7442,80.26320000000001,47.5
13.744299999999999,80.2634,48.27
13.744399999999999,80.26360000000001,40.22
13.744499999999999,80.2638,48.88
13.7446,80.26400000000001,40.68
13.7447,80.2642,46.69
13.7448,80.26440000000001,46.67
13.7449,80.2646,49.94
13.745,80.26480000000001,41.22
13.745099999999999,80.265,40.51
13.745199999999999,80.26520000000001,47.76
13.745299999999999,80.2654,42.09
13.7454,80.2656,48.93
13.7455,80.2658,49.62
13.7456,80.266,46.31
13.7457,80.2662,44.55
13.7458,80.2664,49.7
13.745899999999999,80.26660000000001,41.66
13.745999999999999,80.2668,45.4
13.7461,80.26700000000001,43.25
13.7462,80.2672,43.91
13.7463,80.26740000000001,45.36
13.7464,80.2676,44.14
13.7465,80.26780000000001,46.37
13.746599999999999,80.268,45.46
13.746699999999999,80.26820000000001,42.62
13.746799999999999,80.2684,43.61
13.7469,80.2686,44.69
